#1
#Bezugskoordinaten: 50,7931° N	6,0546° O
#
#Koordinatensystem : Lambert konform konisch	
#Rechtswert        : 3732500 Meter	
#Hochwert          : 2677500 Meter	
#Hoehenlage        : 165 Meter ueber NN	
#Erstellung des Datensatzes im Mai 2016	
#
#Art des TRY       : mittleres Jahr	
#Bezugszeitraum    : 1995-2012	
#Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012	
#	
#Format:(i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)	
#	
#Reihenfolge der Parameter:	
#2 RW Rechtswert                                                    [m]       {3670500;3671500..4389500}"	
#3 HW Hochwert                                                      [m]       {2242500;2243500..3179500}"	
#4 MM Monat                                                                   {1..12}	
#5 DD Tag                                                                     {1..28,30,31}	
#6 HH Stunde (MEZ)                                                            {1..24}	
#7 t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]	
#8 p  Luftdruck in Standorthoehe                                    [hPa]	
#9 WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}"	
#10 WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]	
#11 N  Bedeckungsgrad                                                [Achtel]  {0..8;9}"	
#12 x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]	
#13 RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}	
#14 B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv	
#15 D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv	
#16 A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv	
#17 E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ	
#18 IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}"	
#	
#	
#     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL	
#***
double wetter (8761, 18) 	
3488400	3732500 2677500  2 10 10   0.6 1011 179  1.5 3  3.4  88   20   85 244 -316  1
3492000	3732500 2677500  2 10 11   2.5 1012 169  2.3 6  3.5  83    4  108 263 -320  1
3495600	3732500 2677500  2 10 12   4.3 1012 160  2.4 6  3.8  78   15  152 282 -330  1
3499200	3732500 2677500  2 10 13   6.8 1012 219  3.9 5  4.0  71  136  157 284 -339  1
3502800	3732500 2677500  2 10 14   8.1 1013 220  3.9 6  4.3  66  170  130 289 -343  1
3506400	3732500 2677500  2 10 15   8.8 1013 230  3.3 3  4.4  64  278   57 282 -345  1
3510000	3732500 2677500  2 10 16   8.8 1013 230  3.1 2  4.2  60  210   43 263 -347  1
3513600	3732500 2677500  2 10 17   8.1 1013 211  2.9 5  4.0  59  102   31 273 -345  1
3517200	3732500 2677500  2 10 18   6.8 1013 201  3.4 7  4.0  62    8    8 293 -341  1
3520800	3732500 2677500  2 10 19   5.9 1012 190  2.8 8  4.1  68    0    0 304 -336  1
3524400	3732500 2677500  2 10 20   4.9 1012 190  3.0 8  4.0  72    0    0 308 -334  1
3528000	3732500 2677500  2 10 21   4.4 1012 210  3.7 8  3.9  74    0    0 307 -333  1
3531600	3732500 2677500  2 10 22   4.4 1012 210  4.7 8  3.8  73    0    0 308 -334  1
3535200	3732500 2677500  2 10 23   4.7 1012 218  7.3 8  3.8  73    0    0 309 -337  1
3538800	3732500 2677500  2 10 24   5.6 1012 200  6.1 8  3.9  71    0    0 312 -341  1
3542400	3732500 2677500  2 11  1   5.9 1012 200  6.6 7  3.8  67    0    0 314 -344  1
3546000	3732500 2677500  2 11  2   6.0 1012 210  7.1 7  3.8  66    0    0 313 -347  1
3549600	3732500 2677500  2 11  3   7.0 1012 201  6.8 8  4.0  67    0    0 322 -348  1
3553200	3732500 2677500  2 11  4   7.5 1012 200  7.6 7  4.1  64    0    0 327 -349  1
3556800	3732500 2677500  2 11  5   8.1 1012 210  7.6 6  4.1  63    0    0 321 -351  1
3560400	3732500 2677500  2 11  6   8.3 1012 210  7.5 7  4.6  68    0    0 327 -353  1
3564000	3732500 2677500  2 11  7   8.6 1012 210  6.7 8  5.2  76    0    0 340 -356  1
3567600	3732500 2677500  2 11  8   8.6 1012 230  6.0 7  5.5  79    0    0 343 -357  1
3571200	3732500 2677500  2 11  9   8.6 1013 211  7.4 7  5.5  79    0   18 339 -359  1
3574800	3732500 2677500  2 11 10   9.1 1013 221  6.2 7  5.6  80    3   74 339 -360  1
3578400	3732500 2677500  2 11 11   9.7 1013 230  7.1 7  5.9  80   11  123 341 -362  1
3582000	3732500 2677500  2 11 12  10.0 1013 231  5.8 7  6.0  79   21  159 340 -365  1
3585600	3732500 2677500  2 11 13  10.6 1014 220  5.8 7  6.1  78   18  165 340 -367  1
3589200	3732500 2677500  2 11 14  10.9 1013 200  6.4 6  6.2  77   18  159 334 -366  1
3592800	3732500 2677500  2 11 15  12.1 1013 239  6.3 6  6.4  75   58  141 332 -365  1
3596400	3732500 2677500  2 11 16  12.4 1012 201  5.4 6  6.5  74   47   96 333 -365  1
3600000	3732500 2677500  2 11 17  12.3 1012 211  5.4 7  6.5  73   14   44 337 -365  1
3603600	3732500 2677500  2 11 18  12.0 1012 211  6.1 6  6.4  72    0    4 334 -364  1
3607200	3732500 2677500  2 11 19  11.0 1013 230  6.3 7  6.2  73    0    0 329 -364  1
3610800	3732500 2677500  2 11 20  10.6 1013 220  7.0 8  6.2  77    0    0 337 -363  1
3614400	3732500 2677500  2 11 21  10.7 1014 210  5.5 8  6.4  81    0    0 342 -363  1
3618000	3732500 2677500  2 11 22  10.7 1013 211  6.1 8  6.6  82    0    0 343 -362  1
3621600	3732500 2677500  2 11 23  10.9 1013 200  5.3 8  6.7  82    0    0 341 -359  1
3625200	3732500 2677500  2 11 24  10.9 1013 201  6.2 7  6.7  82    0    0 334 -357  1
3628800	3732500 2677500  2 12  1  10.7 1012 201  5.2 8  6.7  83    0    0 331 -357  1
3632400	3732500 2677500  2 12  2  10.4 1012 201  5.9 8  6.7  84    0    0 332 -357  1
3636000	3732500 2677500  2 12  3  10.2 1012 191  5.9 8  6.7  85    0    0 329 -357  1
3639600	3732500 2677500  2 12  4  10.3 1011 201  5.4 8  6.6  85    0    0 327 -357  1
3643200	3732500 2677500  2 12  5  10.3 1011 200  5.5 8  6.5  83    0    0 325 -356  1
3646800	3732500 2677500  2 12  6  10.5 1010 200  4.7 8  6.5  82    0    0 324 -354  1
3650400	3732500 2677500  2 12  7  11.1 1009 210  5.4 8  6.5  80    0    0 324 -352  1
3654000	3732500 2677500  2 12  8  11.1 1008 210  6.6 7  6.4  77    0    0 320 -351  1
3657600	3732500 2677500  2 12  9  11.3 1007 210  6.7 7  6.1  74    0   17 313 -350  1
3661200	3732500 2677500  2 12 10  12.0 1006 210  7.4 7  6.1  71    1   76 314 -350  1
3664800	3732500 2677500  2 12 11  12.3 1005 210  6.7 7  6.2  70    5  131 315 -354  1
3668400	3732500 2677500  2 12 12  12.9 1005 210  7.0 7  6.4  70   17  188 315 -359  1
3672000	3732500 2677500  2 12 13  13.5 1004 220  6.3 7  6.7  70   25  212 318 -364  1
3675600	3732500 2677500  2 12 14  13.9 1003 210  7.0 7  6.6  67   27  204 324 -367  1
3679200	3732500 2677500  2 12 15  14.0 1002 200  6.8 7  6.4  64   10  154 329 -367  1
3682800	3732500 2677500  2 12 16  14.0 1001 211  6.7 6  6.4  63   37  133 328 -365  1
3686400	3732500 2677500  2 12 17  14.4 1000 230  4.9 7  6.5  64   27   70 333 -363  1
3690000	3732500 2677500  2 12 18  13.5 1001 230  4.1 7  6.6  66    2   12 340 -361  1
3693600	3732500 2677500  2 12 19  12.2 1001 230  4.0 8  6.9  73    0    0 345 -358  1
3697200	3732500 2677500  2 12 20  11.5 1001 241  2.2 8  7.2  82    0    0 350 -355  1
3700800	3732500 2677500  2 12 21  10.4 1001  10  1.5 8  7.5  90    0    0 351 -351  1
3704400	3732500 2677500  2 12 22   9.9 1001  21  1.8 8  7.6  97    0    0 352 -347  1
3708000	3732500 2677500  2 12 23   9.9 1002  31  2.3 8  7.7 100    0    0 354 -342  1
3711600	3732500 2677500  2 12 24   9.6 1002  40  3.1 8  7.6 100    0    0 353 -337  1
3715200	3732500 2677500  2 13  1   9.0 1003  30  4.9 8  7.3  99    0    0 352 -335  1
3718800	3732500 2677500  2 13  2   8.0 1003  21  5.0 8  6.9  98    0    0 351 -333  1
3722400	3732500 2677500  2 13  3   6.6 1004  30  5.1 8  6.2  97    0    0 346 -330  1
3726000	3732500 2677500  2 13  4   6.2 1006  21  5.0 8  5.7  95    0    0 343 -328  1
3729600	3732500 2677500  2 13  5   5.6 1007  31  4.9 7  5.4  94    0    0 333 -326  1
3733200	3732500 2677500  2 13  6   5.4 1007  22  4.2 7  5.3  93    0    0 324 -325  1
3736800	3732500 2677500  2 13  7   5.1 1008  22  4.8 7  5.1  92    0    0 322 -323  1
3740400	3732500 2677500  2 13  8   4.7 1009  84  4.0 8  5.0  92    0    0 325 -321  1
3744000	3732500 2677500  2 13  9   4.7 1010 180  3.1 8  4.9  91    0   15 329 -320  1
3747600	3732500 2677500  2 13 10   5.0 1011  30  2.6 7  4.9  90    0   62 323 -323  1
3751200	3732500 2677500  2 13 11   5.3 1012  21  3.4 7  4.9  89    0   86 317 -329  1
3754800	3732500 2677500  2 13 12   5.7 1012  40  3.4 7  4.8  85    0  117 316 -336  1
3758400	3732500 2677500  2 13 13   5.7 1013  11  3.5 7  4.6  82    0   82 313 -342  1
3762000	3732500 2677500  2 13 14   5.9 1013  21  4.3 8  4.7  82    0   77 314 -346  1
3765600	3732500 2677500  2 13 15   5.8 1013  11  4.3 8  4.7  81    0   98 315 -348  1
3769200	3732500 2677500  2 13 16   5.7 1013  10  4.8 7  4.4  77   24  106 306 -346  1
3772800	3732500 2677500  2 13 17   6.2 1013  11  3.4 4  4.4  76   51   46 285 -342  1
3776400	3732500 2677500  2 13 18   6.0 1013  30  2.6 3  4.5  77    7   12 264 -335  1
3780000	3732500 2677500  2 13 19   5.4 1013  30  2.4 5  4.5  80    0    0 266 -329  1
3783600	3732500 2677500  2 13 20   5.2 1013  49  1.6 6  4.6  84    0    0 277 -325  1
3787200	3732500 2677500  2 13 21   4.5 1013  39  1.5 5  4.7  87    0    0 276 -322  1
3790800	3732500 2677500  2 13 22   4.3 1014  21  2.2 7  4.7  90    0    0 279 -320  1
3794400	3732500 2677500  2 13 23   4.0 1014  39  2.2 6  4.6  90    0    0 281 -318  1
3798000	3732500 2677500  2 13 24   3.1 1014  20  2.2 2  4.5  91    0    0 254 -317  1
3801600	3732500 2677500  2 14  1   2.6 1013  49  1.5 1  4.4  94    0    0 227 -316  1
3805200	3732500 2677500  2 14  2   2.3 1014  40  2.3 0  4.4  96    0    0 216 -316  1
3808800	3732500 2677500  2 14  3   1.5 1014  30  2.2 1  4.3  99    0    0 213 -316  1
3812400	3732500 2677500  2 14  4   1.2 1013  50  1.6 3  4.2 100    0    0 226 -315  1
3816000	3732500 2677500  2 14  5   2.1 1013  69  2.5 6  4.3 100    0    0 252 -314  1
3819600	3732500 2677500  2 14  6   2.2 1013  60  2.6 7  4.4 100    0    0 274 -312  1
3823200	3732500 2677500  2 14  7   2.5 1013  69  3.2 6  4.4  99    0    0 276 -310  1
3826800	3732500 2677500  2 14  8   2.3 1013  69  2.5 6  4.4  97    0    0 271 -310  1
3830400	3732500 2677500  2 14  9   2.1 1013  70  3.3 5  4.3  96    0   24 265 -310  1
3834000	3732500 2677500  2 14 10   2.1 1014  70  3.4 7  4.3  97    4   86 272 -312  1
3837600	3732500 2677500  2 14 11   2.6 1014  70  3.7 7  4.3  95   32  148 283 -315  1
3841200	3732500 2677500  2 14 12   4.4 1014  80  3.6 5  4.3  88  120  173 273 -320  1
3844800	3732500 2677500  2 14 13   6.1 1014  89  3.4 3  4.4  80  257  127 255 -329  1
3848400	3732500 2677500  2 14 14   7.1 1013  51  3.3 2  4.4  74  326   94 244 -336  1
3852000	3732500 2677500  2 14 15   7.3 1014  70  3.4 2  4.4  70  285   81 241 -340  1
3855600	3732500 2677500  2 14 16   7.1 1013  80  3.4 2  4.3  69  199   69 241 -339  1
3859200	3732500 2677500  2 14 17   7.1 1013  70  3.3 3  4.3  69   92   47 246 -335  1
3862800	3732500 2677500  2 14 18   5.9 1012  79  3.9 2  4.3  71   12   15 245 -329  1
3866400	3732500 2677500  2 14 19   4.8 1012  60  2.3 2  4.3  77    0    0 238 -323  1
3870000	3732500 2677500  2 14 20   4.1 1012  50  1.5 1  4.3  82    0    0 232 -319  1
3873600	3732500 2677500  2 14 21   3.6 1012  88  1.5 0  4.3  86    0    0 223 -317  1
3877200	3732500 2677500  2 14 22   3.2 1012 139  1.3 2  4.3  89    0    0 226 -316  1
3880800	3732500 2677500  2 14 23   2.7 1012  71  1.4 2  4.3  91    0    0 233 -316  1
3884400	3732500 2677500  2 14 24   2.2 1012  82  1.3 0  4.2  93    0    0 223 -316  1
3888000	3732500 2677500  2 15  1   1.9 1013  99  1.2 0  4.1  94    0    0 215 -315  1
3891600	3732500 2677500  2 15  2   2.1 1013 109  1.8 0  4.2  95    0    0 216 -313  1
3895200	3732500 2677500  2 15  3   2.1 1012 148  0.9 0  4.1  92    0    0 216 -312  1
3898800	3732500 2677500  2 15  4   2.1 1012 168  0.9 0  3.9  89    0    0 216 -311  1
3902400	3732500 2677500  2 15  5   1.8 1011  98  0.8 1  3.9  89    0    0 219 -311  1
3906000	3732500 2677500  2 15  6   1.3 1011 198  0.8 0  3.8  90    0    0 219 -310  1
3909600	3732500 2677500  2 15  7   1.6 1011 219  0.9 0  3.8  91    0    0 216 -310  1
3913200	3732500 2677500  2 15  8   0.6 1011  79  1.5 0  3.8  93    0    0 216 -310  1
3916800	3732500 2677500  2 15  9   1.7 1011 240  1.5 0  3.9  95   12   39 216 -310  1
3920400	3732500 2677500  2 15 10   4.1 1012  21  0.7 0  4.1  87  116   73 221 -311  1
3924000	3732500 2677500  2 15 11   7.7 1012 283  0.7 0  4.0  68  233   82 229 -314  1
3927600	3732500 2677500  2 15 12   8.6 1012 360  0.9 0  3.8  56  329   80 235 -321  1
3931200	3732500 2677500  2 15 13  10.5 1012  11  0.9 0  3.7  50  379   74 240 -330  1
3934800	3732500 2677500  2 15 14  11.6 1012 339  1.7 0  3.8  46  379   69 245 -338  1
3938400	3732500 2677500  2 15 15  12.1 1011 353  1.7 0  4.0  47  330   63 249 -344  1
3942000	3732500 2677500  2 15 16  12.1 1011  22  1.8 0  4.3  49  229   60 253 -345  1
3945600	3732500 2677500  2 15 17  11.4 1010  60  1.0 0  4.5  52  107   46 252 -342  1
3949200	3732500 2677500  2 15 18  10.3 1010  98  1.8 0  4.8  60   15   14 252 -333  1
3952800	3732500 2677500  2 15 19   9.0 1010  71  1.2 0  5.0  67    0    0 249 -323  1
3956400	3732500 2677500  2 15 20   7.7 1010 170  1.2 0  4.9  72    0    0 245 -319  1
3960000	3732500 2677500  2 15 21   6.8 1010  20  1.3 0  4.8  76    0    0 242 -317  1
3963600	3732500 2677500  2 15 22   6.0 1010 228  1.4 0  4.7  79    0    0 239 -316  1
3967200	3732500 2677500  2 15 23   4.9 1009 191  2.1 0  4.7  84    0    0 237 -316  1
3970800	3732500 2677500  2 15 24   4.1 1009 161  1.4 0  4.5  86    0    0 235 -316  1
3974400	3732500 2677500  2 16  1   3.9 1009 199  1.4 0  4.4  87    0    0 233 -317  1
3978000	3732500 2677500  2 16  2   4.1 1009 210  2.1 0  4.3  86    0    0 233 -319  1
3981600	3732500 2677500  2 16  3   4.7 1008 200  2.1 0  4.2  80    0    0 233 -321  1
3985200	3732500 2677500  2 16  4   4.0 1008 220  2.1 0  4.1  79    0    0 233 -318  1
3988800	3732500 2677500  2 16  5   4.1 1008 241  2.1 0  4.0  78    0    0 231 -316  1
3992400	3732500 2677500  2 16  6   4.4 1008 211  2.1 0  3.9  76    0    0 229 -316  1
3996000	3732500 2677500  2 16  7   3.9 1007 279  1.5 0  3.9  76    0    0 228 -316  1
3999600	3732500 2677500  2 16  8   3.1 1007  61  1.4 0  3.9  79    0    0 224 -316  1
4003200	3732500 2677500  2 16  9   3.3 1007 220  1.4 0  4.0  83   10   43 224 -316  1
4006800	3732500 2677500  2 16 10   5.9 1007 232  2.9 0  4.1  78  107   81 226 -316  1
4010400	3732500 2677500  2 16 11   8.2 1008 201  3.0 0  4.2  67  226   89 229 -316  1
4014000	3732500 2677500  2 16 12  10.1 1008 261  2.5 0  4.3  60  323   84 232 -319  1
4017600	3732500 2677500  2 16 13   8.6 1008 290  3.9 0  4.6  62  382   74 228 -322  1
4021200	3732500 2677500  2 16 14   8.0 1008 291  3.4 1  4.9  72  367   73 228 -325  1
4024800	3732500 2677500  2 16 15   4.6 1008 271  4.8 5  4.9  82   96  153 250 -328  1
4028400	3732500 2677500  2 16 16   3.2 1008 241  3.5 7  4.7  92    9  100 279 -330  1
4032000	3732500 2677500  2 16 17   3.8 1008 280  3.4 8  4.7  96    0   41 295 -330  1
4035600	3732500 2677500  2 16 18   3.8 1008 300  3.9 8  4.8  96    0    4 302 -328  1
4039200	3732500 2677500  2 16 19   3.7 1009 310  3.1 8  4.9  98    0    0 302 -326  1
4042800	3732500 2677500  2 16 20   3.2 1010 300  3.7 8  4.8  99    0    0 302 -324  1
4046400	3732500 2677500  2 16 21   2.9 1010 321  3.1 7  4.7 100    0    0 297 -322  1
4050000	3732500 2677500  2 16 22   2.4 1010 340  3.6 7  4.6  99    0    0 293 -322  1
4053600	3732500 2677500  2 16 23   2.2 1011 350  3.0 7  4.4  99    0    0 293 -321  1
4057200	3732500 2677500  2 16 24   1.7 1011 340  4.5 8  4.3  99    0    0 298 -320  1
4060800	3732500 2677500  2 17  1   1.9 1012 340  3.2 8  4.3 100    0    0 305 -319  1
4064400	3732500 2677500  2 17  2   2.1 1012 350  3.5 8  4.4 100    0    0 307 -318  1
4068000	3732500 2677500  2 17  3   2.4 1013 350  3.4 8  4.5 100    0    0 309 -317  1
4071600	3732500 2677500  2 17  4   2.5 1013   0  3.4 8  4.5 100    0    0 310 -317  1
4075200	3732500 2677500  2 17  5   2.7 1013 350  3.4 8  4.6 100    0    0 312 -316  1
4078800	3732500 2677500  2 17  6   2.9 1013   0  3.4 8  4.6 100    0    0 312 -316  1
4082400	3732500 2677500  2 17  7   3.1 1013  13  4.3 8  4.7 100    0    0 313 -315  1
4086000	3732500 2677500  2 17  8   2.6 1014   4  4.4 8  4.7 100    0    0 311 -315  1
4089600	3732500 2677500  2 17  9   2.2 1014  10  3.7 7  4.5 100    0   27 301 -314  1
4093200	3732500 2677500  2 17 10   2.3 1015   0  3.8 7  4.5 100    2   92 293 -315  1
4096800	3732500 2677500  2 17 11   2.7 1016   1  4.5 5  4.5 100    0   86 279 -315  1
4100400	3732500 2677500  2 17 12   2.9 1016  11  3.9 7  4.6 100    0   64 276 -317  1
4104000	3732500 2677500  2 17 13   3.3 1017  45  3.8 8  4.7  99    0   57 286 -322  1
4107600	3732500 2677500  2 17 14   3.5 1017  39  3.8 7  4.8  99    0   59 281 -328  1
4111200	3732500 2677500  2 17 15   3.5 1017  30  4.4 7  4.7  97    0   64 275 -330  1
4114800	3732500 2677500  2 17 16   3.6 1017  21  3.7 8  4.6  95    0   45 275 -330  1
4118400	3732500 2677500  2 17 17   3.4 1017  21  3.6 8  4.6  96    0   35 278 -326  1
4122000	3732500 2677500  2 17 18   3.4 1017  30  3.4 7  4.6  96    0    8 275 -321  1
4125600	3732500 2677500  2 17 19   3.3 1018  20  3.3 7  4.5  94    0    0 270 -317  1
4129200	3732500 2677500  2 17 20   3.3 1018  11  3.3 8  4.4  92    0    0 274 -315  1
4132800	3732500 2677500  2 17 21   3.1 1019  10  4.1 8  4.4  92    0    0 279 -312  1
4136400	3732500 2677500  2 17 22   2.9 1019  20  3.0 8  4.3  93    0    0 280 -310  1
4140000	3732500 2677500  2 17 23   2.8 1019  30  2.4 8  4.3  92    0    0 282 -309  1
4143600	3732500 2677500  2 17 24   2.7 1019  30  3.1 8  4.1  88    0    0 284 -308  1
4147200	3732500 2677500  2 18  1   2.3 1019  10  2.8 8  3.9  87    0    0 285 -309  1
4150800	3732500 2677500  2 18  2   1.8 1019  20  2.9 8  3.9  88    0    0 285 -309  1
4154400	3732500 2677500  2 18  3   1.6 1019  10  2.4 8  3.7  88    0    0 285 -309  1
4158000	3732500 2677500  2 18  4   1.2 1019  10  2.2 7  3.6  86    0    0 281 -311  1
4161600	3732500 2677500  2 18  5   0.7 1019  10  2.3 6  3.5  87    0    0 272 -312  1
4165200	3732500 2677500  2 18  6   0.2 1019 242  1.5 5  3.5  89    0    0 264 -313  1
4168800	3732500 2677500  2 18  7  -0.2 1019 317  2.2 5  3.4  91    0    0 260 -314  1
4172400	3732500 2677500  2 18  8  -0.1 1019  21  2.1 8  3.6  96    0    0 275 -314  1
4176000	3732500 2677500  2 18  9  -0.6 1019  20  2.1 7  3.6  98    0   12 284 -314  1
4179600	3732500 2677500  2 18 10  -0.6 1020  40  1.3 6  3.6  99    0   65 275 -315  1
4183200	3732500 2677500  2 18 11  -0.4 1020  30  2.1 8  3.6 100    0   64 280 -317  1
4186800	3732500 2677500  2 18 12  -0.1 1020 258  1.6 8  3.6  99    0   74 290 -321  1
4190400	3732500 2677500  2 18 13   0.8 1020 259  1.7 8  3.8  98    0  113 292 -327  1
4194000	3732500 2677500  2 18 14   2.0 1020 241  2.5 6  4.0  95   22  128 288 -332  1
4197600	3732500 2677500  2 18 15   2.8 1019 290  1.9 7  4.1  92    0   72 290 -337  1
4201200	3732500 2677500  2 18 16   2.7 1019 260  2.0 7  4.2  91    0   63 298 -339  1
4204800	3732500 2677500  2 18 17   3.1 1019 270  2.6 7  4.2  90    7   42 300 -338  1
4208400	3732500 2677500  2 18 18   3.2 1019 279  1.9 6  4.2  90    7    6 296 -336  1
4212000	3732500 2677500  2 18 19   3.2 1018 240  2.6 7  4.2  89    0    0 296 -335  1
4215600	3732500 2677500  2 18 20   3.2 1019 260  1.9 7  4.2  89    0    0 300 -335  1
4219200	3732500 2677500  2 18 21   3.3 1019 299  1.8 7  4.3  89    0    0 299 -336  1
4222800	3732500 2677500  2 18 22   3.4 1019 339  1.7 8  4.3  89    0    0 304 -337  1
4226400	3732500 2677500  2 18 23   3.1 1019 329  1.6 8  4.3  90    0    0 309 -336  1
4230000	3732500 2677500  2 18 24   3.1 1019 358  0.8 8  4.3  91    0    0 307 -335  1
4233600	3732500 2677500  2 19  1   3.2 1019 251  1.7 7  4.3  92    0    0 301 -334  1
4237200	3732500 2677500  2 19  2   3.2 1019 221  1.6 8  4.3  90    0    0 299 -334  1
4240800	3732500 2677500  2 19  3   3.2 1019 261  2.3 8  4.3  90    0    0 303 -333  1
4244400	3732500 2677500  2 19  4   3.2 1019 251  1.6 8  4.3  90    0    0 302 -333  1
4248000	3732500 2677500  2 19  5   3.4 1018 241  1.7 7  4.2  89    0    0 298 -332  1
4251600	3732500 2677500  2 19  6   3.3 1018 260  2.3 8  4.2  87    0    0 296 -332  1
4255200	3732500 2677500  2 19  7   3.1 1018 270  1.5 8  4.1  87    0    0 299 -332  1
4258800	3732500 2677500  2 19  8   2.9 1017 211  2.3 7  4.1  87    0    0 291 -331  1
4262400	3732500 2677500  2 19  9   2.4 1017 231  2.4 6  4.0  88   11   43 277 -331  1
4266000	3732500 2677500  2 19 10   3.0 1017 261  3.0 4  4.0  88   35   99 259 -332  1
4269600	3732500 2677500  2 19 11   3.2 1018 270  3.3 7  3.9  83   10  125 265 -335  1
4273200	3732500 2677500  2 19 12   3.6 1017 270  4.3 7  3.9  81    0  111 280 -339  1
4276800	3732500 2677500  2 19 13   4.0 1017 271  5.1 7  3.9  78    0   78 278 -341  1
4280400	3732500 2677500  2 19 14   4.0 1016 280  4.6 8  3.9  77    0   48 281 -343  1
4284000	3732500 2677500  2 19 15   3.9 1016 270  3.9 8  3.9  78    0   72 285 -344  1
4287600	3732500 2677500  2 19 16   4.3 1015 241  4.6 6  4.0  80   33  103 275 -344  1
4291200	3732500 2677500  2 19 17   4.3 1014 270  4.6 4  4.1  79  100   33 258 -342  1
4294800	3732500 2677500  2 19 18   4.1 1014 260  4.6 6  4.0  79    5   12 258 -339  1
4298400	3732500 2677500  2 19 19   4.0 1013 251  4.5 7  4.1  80    0    0 271 -336  1
4302000	3732500 2677500  2 19 20   3.8 1013 261  3.7 8  4.1  82    0    0 282 -334  1
4305600	3732500 2677500  2 19 21   3.7 1013 290  3.8 8  4.1  83    0    0 292 -332  1
4309200	3732500 2677500  2 19 22   3.1 1013 280  3.7 7  4.2  87    0    0 293 -330  1
4312800	3732500 2677500  2 19 23   2.8 1013 261  4.5 7  4.3  92    0    0 290 -329  1
4316400	3732500 2677500  2 19 24   2.9 1013 260  3.7 8  4.5  96    0    0 300 -330  1
4320000	3732500 2677500  2 20  1   2.9 1013 260  4.9 8  4.6  98    0    0 310 -329  1
4323600	3732500 2677500  2 20  2   3.3 1013 280  3.5 8  4.7 100    0    0 314 -329  1
4327200	3732500 2677500  2 20  3   3.8 1013 329  3.3 8  4.9 100    0    0 316 -330  1
4330800	3732500 2677500  2 20  4   4.0 1013 329  3.2 8  5.0  99    0    0 318 -331  1
4334400	3732500 2677500  2 20  5   3.8 1012 330  2.6 8  5.0  99    0    0 317 -331  1
4338000	3732500 2677500  2 20  6   3.5 1012 340  3.3 8  4.8  98    0    0 317 -331  1
4341600	3732500 2677500  2 20  7   3.1 1013 330  3.3 7  4.6  96    0    0 306 -330  1
4345200	3732500 2677500  2 20  8   3.1 1013 319  3.1 7  4.5  96    0    0 293 -328  1
4348800	3732500 2677500  2 20  9   3.1 1014 290  2.4 7  4.5  95    2   48 290 -326  1
4352400	3732500 2677500  2 20 10   3.6 1013 320  2.5 7  4.6  94    0   70 288 -326  1
4356000	3732500 2677500  2 20 11   4.1 1013 313  3.2 7  4.7  94    0   96 286 -330  1
4359600	3732500 2677500  2 20 12   4.6 1013 339  3.4 7  4.7  90    0  123 286 -335  1
4363200	3732500 2677500  2 20 13   5.1 1013 329  4.2 8  4.7  87    0  109 292 -341  1
4366800	3732500 2677500  2 20 14   5.4 1013 300  3.5 7  4.6  84    2  140 290 -345  1
4370400	3732500 2677500  2 20 15   6.0 1012 310  4.1 7  4.5  78    3  132 283 -346  1
4374000	3732500 2677500  2 20 16   6.2 1012 310  2.8 7  4.4  75    4  104 282 -344  1
4377600	3732500 2677500  2 20 17   6.2 1011 300  3.9 7  4.3  73    6   69 283 -341  1
4381200	3732500 2677500  2 20 18   5.9 1011 310  3.4 7  4.4  75    7   23 282 -336  1
4384800	3732500 2677500  2 20 19   5.6 1011 300  3.3 7  4.5  79    0    0 282 -331  1
4388400	3732500 2677500  2 20 20   5.3 1011 290  3.7 8  4.6  83    0    0 287 -329  1
4392000	3732500 2677500  2 20 21   4.9 1011 299  3.3 7  4.6  84    0    0 287 -327  1
4395600	3732500 2677500  2 20 22   4.2 1011 260  2.7 7  4.6  86    0    0 283 -325  1
4399200	3732500 2677500  2 20 23   4.0 1011 259  3.5 7  4.6  90    0    0 286 -323  1
4402800	3732500 2677500  2 20 24   3.5 1011 241  4.4 6  4.6  92    0    0 284 -322  1
4406400	3732500 2677500  2 21  1   3.1 1010 241  5.3 6  4.4  92    0    0 281 -324  1
4410000	3732500 2677500  2 21  2   3.1 1010 250  4.7 5  4.3  91    0    0 278 -326  1
