#	RW	HW	MM	DD	HH	t	p	WR	WG	N	x	RF	B	D	A	E	IL
#***																	
double	wetter	(8771,	18)														
118800	3732500	2677500	1	2	10	9.2	975	191	7.3	6	6.0	83	7	40	320	-345	1
122400	3732500	2677500	1	2	11	10.3	975	200	8.2	2	6.1	77	76	79	285	-348	1
126000	3732500	2677500	1	2	12	11.2	976	200	7.7	3	6.1	72	85	109	257	-350	1
129600	3732500	2677500	1	2	13	11.3	976	201	7.7	5	6.0	70	44	120	276	-352	1
133200	3732500	2677500	1	2	14	11.4	976	220	6.4	5	5.9	68	63	112	291	-353	1
136800	3732500	2677500	1	2	15	11.7	975	200	7.1	4	5.8	66	69	82	281	-353	1
140400	3732500	2677500	1	2	16	11.1	975	191	7.1	6	5.8	67	31	45	293	-352	1
144000	3732500	2677500	1	2	17	10.9	975	200	6.9	7	5.7	67	0	8	319	-351	1
147600	3732500	2677500	1	2	18	10.2	976	200	7.0	7	5.6	68	0	0	326	-350	1
151200	3732500	2677500	1	2	19	10.1	976	200	6.9	7	5.7	72	0	0	324	-348	1
154800	3732500	2677500	1	2	20	10.0	976	200	7.0	6	5.8	73	0	0	316	-347	1
158400	3732500	2677500	1	2	21	9.6	975	200	7.7	6	5.9	75	0	0	308	-347	1
162000	3732500	2677500	1	2	22	9.2	975	210	7.7	6	6.1	80	0	0	309	-345	1
165600	3732500	2677500	1	2	23	9.3	975	210	7.8	5	6.0	79	0	0	303	-343	1
169200	3732500	2677500	1	2	24	9.4	975	220	7.8	3	5.8	76	0	0	284	-341	1
172800	3732500	2677500	1	3	1	9.4	976	210	9.3	6	5.7	74	0	0	287	-339	1
176400	3732500	2677500	1	3	2	9.0	976	210	7.7	7	5.5	74	0	0	312	-340	1
180000	3732500	2677500	1	3	3	8.9	977	211	7.1	7	5.5	75	0	0	318	-340	1
183600	3732500	2677500	1	3	4	8.4	977	210	6.5	8	5.5	76	0	0	322	-339	1
187200	3732500	2677500	1	3	5	7.1	978	210	6.6	8	5.7	83	0	0	325	-339	1
190800	3732500	2677500	1	3	6	7.0	978	220	6.8	8	5.9	91	0	0	322	-338	1
194400	3732500	2677500	1	3	7	7.0	979	230	6.8	8	5.9	91	0	0	321	-337	1
198000	3732500	2677500	1	3	8	7.0	980	240	7.3	6	5.8	90	0	0	310	-336	1
201600	3732500	2677500	1	3	9	6.9	981	231	7.0	5	5.6	87	0	0	293	-336	1
205200	3732500	2677500	1	3	10	6.6	983	240	6.9	4	5.3	84	1	35	278	-336	1
208800	3732500	2677500	1	3	11	6.8	984	231	6.3	7	5.2	83	4	71	291	-336	1
212400	3732500	2677500	1	3	12	7.2	985	254	5.6	6	5.3	82	4	95	304	-338	1
216000	3732500	2677500	1	3	13	7.5	986	240	6.3	6	5.1	78	13	125	300	-339	1
219600	3732500	2677500	1	3	14	7.6	987	231	6.4	6	4.9	73	12	111	296	-340	1
223200	3732500	2677500	1	3	15	7.6	987	231	6.0	7	4.7	71	1	61	297	-341	1
226800	3732500	2677500	1	3	16	7.2	987	220	4.6	5	4.7	72	3	36	290	-340	1
230400	3732500	2677500	1	3	17	6.4	988	210	4.5	4	4.8	75	2	10	273	-341	1
234000	3732500	2677500	1	3	18	5.7	988	200	4.3	2	4.7	79	0	0	256	-341	1
237600	3732500	2677500	1	3	19	5.4	988	190	5.1	2	4.6	80	0	0	245	-343	1
241200	3732500	2677500	1	3	20	5.4	988	190	5.8	5	4.5	78	0	0	263	-344	1
244800	3732500	2677500	1	3	21	5.5	988	190	5.1	7	4.5	78	0	0	290	-345	1
248400	3732500	2677500	1	3	22	6.1	987	190	4.3	6	4.6	78	0	0	298	-344	1
252000	3732500	2677500	1	3	23	6.6	987	190	6.1	6	4.6	76	0	0	297	-344	1
255600	3732500	2677500	1	3	24	7.0	986	190	6.2	7	4.6	74	0	0	308	-344	1
259200	3732500	2677500	1	4	1	6.7	985	190	7.1	5	4.7	74	0	0	306	-344	1
262800	3732500	2677500	1	4	2	6.9	984	190	7.7	5	4.8	75	0	0	298	-344	1
266400	3732500	2677500	1	4	3	7.4	982	200	7.7	5	4.8	74	0	0	300	-344	1
270000	3732500	2677500	1	4	4	7.4	981	190	7.9	6	4.9	74	0	0	309	-344	1
273600	3732500	2677500	1	4	5	7.3	980	190	8.4	6	5.1	77	0	0	314	-344	1
277200	3732500	2677500	1	4	6	7.3	980	190	7.1	7	5.2	79	0	0	322	-345	1
280800	3732500	2677500	1	4	7	7.4	979	190	6.3	7	5.2	79	0	0	328	-345	1
284400	3732500	2677500	1	4	8	7.8	978	190	7.8	7	5.3	78	0	0	329	-345	1
288000	3732500	2677500	1	4	9	7.7	978	190	7.7	7	5.3	78	0	0	328	-346	1
291600	3732500	2677500	1	4	10	7.9	977	181	7.8	7	5.4	79	0	30	326	-346	1
295200	3732500	2677500	1	4	11	8.2	977	190	8.4	6	5.5	79	21	79	317	-348	1
298800	3732500	2677500	1	4	12	8.5	977	190	7.9	7	5.5	78	0	75	318	-349	1
302400	3732500	2677500	1	4	13	8.7	976	190	8.7	6	5.6	77	1	83	321	-351	1
306000	3732500	2677500	1	4	14	9.0	975	190	8.8	7	5.6	76	0	70	323	-352	1
309600	3732500	2677500	1	4	15	9.2	975	200	8.0	6	5.8	78	13	73	323	-353	1
313200	3732500	2677500	1	4	16	8.9	975	220	8.8	8	6.1	82	8	37	330	-353	1
316800	3732500	2677500	1	4	17	7.7	976	231	7.2	8	6.1	86	0	4	343	-352	1
320400	3732500	2677500	1	4	18	7.5	977	232	7.3	8	5.9	88	0	0	338	-351	1
324000	3732500	2677500	1	4	19	8.0	978	220	7.8	6	5.8	84	0	0	324	-350	1
327600	3732500	2677500	1	4	20	8.0	979	211	7.9	5	5.4	79	0	0	303	-350	1
331200	3732500	2677500	1	4	21	7.4	979	220	7.4	4	5.2	77	0	0	286	-349	1
334800	3732500	2677500	1	4	22	6.9	980	211	8.2	5	5.1	78	0	0	281	-349	1
338400	3732500	2677500	1	4	23	6.8	981	211	7.5	5	5.0	79	0	0	286	-348	1
342000	3732500	2677500	1	4	24	7.3	981	211	7.9	5	5.1	79	0	0	285	-347	1
345600	3732500	2677500	1	5	1	7.1	981	210	6.8	5	5.1	79	0	0	285	-348	1
349200	3732500	2677500	1	5	2	7.5	981	200	6.9	5	5.2	79	0	0	291	-348	1
352800	3732500	2677500	1	5	3	7.8	981	201	4.8	6	5.4	80	0	0	302	-349	1
356400	3732500	2677500	1	5	4	8.0	980	200	6.9	7	5.5	80	0	0	318	-349	1
360000	3732500	2677500	1	5	5	7.5	979	190	6.9	7	5.6	82	0	0	325	-348	1
363600	3732500	2677500	1	5	6	7.4	978	190	7.7	7	5.6	84	0	0	326	-347	1
367200	3732500	2677500	1	5	7	7.6	977	190	7.4	7	5.7	85	0	0	328	-347	1
370800	3732500	2677500	1	5	8	7.1	975	190	8.3	7	5.7	86	0	0	331	-347	1
374400	3732500	2677500	1	5	9	6.5	973	190	9.6	7	5.5	87	0	0	331	-348	1
378000	3732500	2677500	1	5	10	6.5	971	190	10.5	8	5.5	88	0	10	334	-348	1
